,City,Country,Date,Latitude,Longitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed
41,Hamina,FI,1666577388,60.5697,27.1979,33.08,33.08,82,1,9.78
42,Lavrentiya,RU,1666577388,65.5833,-171.0,30.92,30.92,90,96,4.41
43,Cape Town,ZA,1666577237,-33.9258,18.4232,62.8,65.37,78,1,10.0
44,Barrow,US,1666577389,71.2906,-156.7887,24.82,24.82,86,100,21.85
45,Corinth,GR,1666577389,37.9407,22.9573,67.82,67.82,62,2,2.8
46,Katangli,RU,1666577389,51.7102,143.2326,35.96,35.96,56,67,7.67
47,Saskylakh,RU,1666577251,71.9167,114.0833,0.72,0.72,99,89,3.67
48,Kamuli,UG,1666577390,0.9472,33.1197,63.86,63.86,85,24,1.03
49,Longyearbyen,SJ,1666577391,78.2186,15.6401,22.84,22.84,68,40,10.36
50,Pangnirtung,CA,1666577391,66.1451,-65.7125,23.63,23.63,87,100,8.08
51,Avera,US,1666577348,33.194,-82.5271,56.1,56.71,66,5,3.4
52,Norman Wells,CA,1666576994,65.282,-126.8329,24.84,24.84,93,100,0.0
53,Ende,ID,1666577392,-8.8432,121.6623,87.69,87.69,63,94,4.03
54,Kouango,CF,1666577392,4.9934,19.9619,69.67,69.67,96,79,1.45
55,Wanning,CN,1666577392,18.8003,110.3967,77.22,77.22,89,88,11.1
56,Togur,RU,1666577393,58.3631,82.8265,27.09,27.09,87,97,12.75
57,Constitución,CL,1666577253,-35.3333,-72.4167,46.58,46.58,82,0,7.74
58,Twentynine Palms,US,1666577393,34.1356,-116.0542,61.92,66.92,17,0,1.99
59,Poum,NC,1666577394,-20.2333,164.0167,77.41,77.41,82,37,25.95
60,Gari,RU,1666577394,59.4307,62.3497,33.64,33.64,74,100,15.57
61,Hambantota,LK,1666577395,6.1241,81.1185,77.34,77.34,100,20,6.91
62,Guerrero Negro,MX,1666577395,27.9769,-114.0611,68.79,68.79,71,0,14.41
63,El Obraje,HN,1666577395,14.0,-86.4333,69.57,69.57,97,28,2.35
64,Biak,ID,1666577396,-0.9131,122.8766,84.45,84.45,62,95,2.01
65,Saint George,US,1666577396,37.1041,-113.5841,46.27,48.43,52,0,7.0
66,Mataura,NZ,1666577003,-46.1927,168.8643,51.85,51.85,51,98,5.99
67,Khatanga,RU,1666577397,71.9667,102.5,3.4,3.4,90,65,7.83
68,Adrar,MR,1666577397,20.5022,-10.0711,81.39,81.39,14,3,11.39
69,Road Town,VG,1666577398,18.4167,-64.6167,80.64,80.69,83,40,5.75
70,Arauca,CO,1666577398,7.0847,-70.7591,74.91,74.91,93,99,0.96
71,Haverfordwest,GB,1666577398,51.8017,-4.9691,56.05,56.05,96,100,9.98
72,Cravo Norte,CO,1666577399,6.3017,-70.2041,78.28,78.28,88,100,4.76
73,Korla,CN,1666577399,41.7597,86.1469,54.46,54.46,35,100,6.69
74,Hobart,AU,1666577360,-42.8794,147.3294,55.6,56.26,65,100,12.66
75,Manuk Mangkaw,PH,1666577400,4.8,119.85,82.11,82.11,77,100,6.78
76,San Patricio,US,1666577400,28.017,-97.5169,78.62,80.49,76,100,19.1
77,Gizo Government Station,SB,1666577190,-8.103,156.8419,83.37,83.37,71,95,5.86
78,Hithadhoo,MV,1666577271,-0.6,73.0833,81.5,81.5,73,69,8.16
79,Tasiilaq,GL,1666577401,65.6145,-37.6368,32.16,32.16,99,100,4.41
80,Tuktoyaktuk,CA,1666577278,69.4541,-133.0374,13.01,13.01,82,3,6.42
81,Mar del Plata,AR,1666577217,-38.0023,-57.5575,56.73,57.09,84,41,18.99
82,Castro,BR,1666577218,-24.7911,-50.0119,60.93,60.93,78,47,1.72
83,Jaisalmer,IN,1666577417,26.9147,70.9181,76.77,76.77,21,0,3.71
84,Seoul,KR,1666577417,37.5683,126.9778,58.39,58.39,37,0,7.56
85,Hong Kong,HK,1666577293,22.2855,114.1577,80.26,80.96,65,24,8.99
86,Hermiston,US,1666577418,45.8404,-119.2895,49.14,52.2,59,0,6.91
87,Cherskiy,RU,1666577356,68.75,161.3,10.69,10.69,95,97,5.44
88,Cockburn Town,TC,1666577420,21.4612,-71.1419,81.07,81.07,74,84,12.62
89,Ziyang,CN,1666577421,29.2497,117.8547,72.43,72.43,21,53,11.05
90,Caucayá,CO,1666577422,-0.1934,-74.7819,71.02,71.02,99,100,2.06
91,Berlevåg,NO,1666577277,70.8578,29.0864,35.4,37.4,76,85,11.97
92,Kavieng,PG,1666577423,-2.5744,150.7967,84.29,84.29,65,35,2.73
93,Busselton,AU,1666577253,-33.65,115.3333,64.13,64.13,71,14,18.32
94,Souillac,MU,1666577423,-20.5167,57.5167,70.18,70.18,94,75,4.61
95,Gallup,US,1666577424,35.5281,-108.7426,38.44,39.96,61,100,0.0
96,Broome,US,1666577424,42.2506,-75.833,54.46,56.37,81,96,1.01
97,Esperance,AU,1666577360,-33.8667,121.9,56.44,56.44,80,100,19.73
98,Shingū,JP,1666577426,33.7333,135.9833,69.51,69.51,42,2,2.84
99,Tocopilla,CL,1666577426,-22.092,-70.1979,63.18,63.18,67,3,8.12
100,Kendari,ID,1666577426,-3.945,122.4989,88.25,88.25,60,98,2.89
101,Sur,OM,1666577427,22.5667,59.5289,78.21,78.21,39,0,7.78
102,Muzhi,RU,1666577427,65.3667,64.6667,30.0,30.0,86,67,7.7
103,Gelibolu,TR,1666577428,40.4103,26.6708,51.66,51.66,75,2,4.45
104,East London,ZA,1666577233,-33.0153,27.9116,67.39,67.39,84,100,2.33
105,Zolotukhino,RU,1666577429,52.0842,36.3772,44.67,44.67,93,100,11.12
106,Kaitangata,NZ,1666576992,-46.2817,169.8464,50.65,50.65,55,99,12.35
107,Nexø,DK,1666577429,55.0607,15.1306,55.49,55.49,91,100,15.79
108,Nikolskoye,RU,1666577188,59.7035,30.7861,35.19,35.49,87,1,5.91
109,Vestmanna,FO,1666577430,62.1564,-7.1664,43.72,43.72,87,75,10.36
110,Hofn,IS,1666577228,64.2539,-15.2082,40.35,40.35,82,100,9.66
111,Juba,SS,1666577431,4.8517,31.5825,69.3,69.3,92,14,1.39
112,Bluff,NZ,1666577245,-46.6,168.3333,48.99,48.99,58,80,15.01
113,Pangkalanbuun,ID,1666577431,-2.6833,111.6167,82.53,82.53,71,100,5.21
114,Assiniboia,CA,1666577432,49.6334,-105.9845,28.62,28.62,97,100,19.19
115,Baruun-Urt,MN,1666577432,46.6806,113.2792,45.63,45.63,28,0,14.05
116,Natitingou,BJ,1666577433,10.3042,1.3796,72.37,72.37,50,93,3.0
117,Ketchikan,US,1666577178,55.3422,-131.6461,46.87,46.87,93,100,19.57
118,Bairiki Village,KI,1666577433,1.3292,172.9752,77.0,77.0,94,75,12.66
119,Kallaste,EE,1666577434,58.655,27.1592,35.29,37.63,80,50,8.55
120,La Cruz,MX,1666577434,23.9167,-106.9,76.55,76.55,84,8,3.15
121,Pokhara,NP,1666577387,28.2333,83.9833,67.3,67.3,51,0,6.04
122,Padang,ID,1666577435,-0.9492,100.3543,84.25,84.25,78,96,1.43
123,San Vicente,AR,1666577435,-26.6167,-54.1333,58.8,58.8,92,0,3.8
124,Rocha,UY,1666577436,-34.4833,-54.3333,52.39,52.39,97,24,4.14
125,Khor,RU,1666577436,47.8861,134.9464,41.2,41.2,51,3,7.96
126,Arraial do Cabo,BR,1666577350,-22.9661,-42.0278,71.47,71.47,80,93,4.41
127,Airai,TL,1666577437,-8.9266,125.4092,77.04,77.04,45,81,1.68
128,College,US,1666577437,64.8569,-147.8028,29.41,31.21,94,75,0.0
129,Hilo,US,1666577068,19.7297,-155.09,78.37,79.61,78,40,3.44
130,Tarn Taran,IN,1666577437,31.45,74.9253,57.22,57.22,45,0,1.9
131,Port Alfred,ZA,1666577201,-33.5906,26.891,65.61,65.61,87,57,2.06
132,Qaanaaq,GL,1666577232,77.484,-69.3632,20.01,20.01,94,100,1.34
133,Kapaa,US,1666577235,22.0752,-159.319,80.31,82.38,78,75,14.97
134,Tura,IN,1666577438,25.5198,90.2201,70.75,70.75,84,100,1.23
135,Thinadhoo,MV,1666577439,0.5333,72.9333,82.15,82.15,73,15,10.38
136,Zhob,PK,1666577439,31.3411,69.4481,59.13,59.13,30,0,2.98
137,Fendou,CN,1666577440,45.2,130.9167,40.77,40.77,43,1,6.76
138,Urucará,BR,1666577440,-2.5364,-57.76,80.55,80.55,67,72,2.26
139,Lagoa,PT,1666577318,39.05,-27.9833,64.06,64.06,72,3,17.6
140,Stranda,NO,1666577441,62.3096,6.9358,44.74,45.36,92,100,4.81
141,Touros,BR,1666577441,-5.1989,-35.4608,77.83,77.83,82,11,11.92
142,Masallātah,LY,1666577441,32.6167,14.0,67.87,67.87,51,0,10.04
143,Anklam,DE,1666577442,53.8564,13.6897,54.55,54.55,96,100,9.4
144,San Juan,AR,1666576893,-31.5375,-68.5364,72.16,72.16,29,0,6.24
145,Huarmey,PE,1666577442,-10.0681,-78.1522,61.93,61.93,84,97,8.61
146,Avarua,CK,1666577271,-21.2078,-159.775,71.65,71.65,94,75,12.66
147,Kantyshevo,RU,1666577443,43.2264,44.6381,38.86,38.86,100,100,4.47
148,Havelock,US,1666577443,34.8791,-76.9013,61.09,62.6,89,100,13.8
149,Rock Sound,BS,1666577357,24.9,-76.2,80.67,80.67,66,3,13.22
150,Codrington,AU,1666577218,-38.2667,141.9667,54.61,54.61,96,100,18.48
151,Faanui,PF,1666577444,-16.4833,-151.75,79.48,79.48,74,26,7.18
152,Pauini,BR,1666577444,-7.7136,-66.9764,73.44,73.44,97,99,0.76
153,Nelson,NZ,1666577356,-41.2833,173.2833,73.29,73.29,42,82,3.0
154,Cabo San Lucas,MX,1666576992,22.8909,-109.9124,76.51,76.51,70,16,8.01
155,Lircay,PE,1666577445,-12.9896,-74.7205,51.53,51.53,81,98,5.17
156,Bairnsdale,AU,1666577445,-37.8333,147.6167,63.05,63.05,88,99,5.01
157,Udachny,RU,1666577446,66.4167,112.4,28.45,28.45,92,100,4.56
158,Hohoe,GH,1666577446,7.1518,0.4736,74.34,74.34,90,100,2.95
159,Manggar,ID,1666577446,-2.8833,108.2667,79.5,79.5,83,100,1.14
160,Wuda,CN,1666577447,39.4994,106.7117,57.06,57.06,32,0,9.62
161,Cassilândia,BR,1666577447,-19.1133,-51.7342,75.25,75.25,63,99,3.8
162,Khandyga,RU,1666577447,62.6667,135.6,14.59,14.59,88,96,5.21
163,Jāwā,JO,1666577448,31.8525,35.9393,61.11,61.11,77,5,5.75
164,Aykhal,RU,1666577448,66.0,111.5,29.32,29.32,97,100,4.36
165,Ponta do Sol,PT,1666577254,32.6667,-17.1,67.93,70.0,62,100,6.49
166,Severo-Yeniseyskiy,RU,1666577449,60.3725,93.0408,25.36,25.36,79,100,13.89
167,Emerald,AU,1666577449,-23.5333,148.1667,88.34,88.34,42,45,11.99
168,Los Llanos de Aridane,ES,1666577164,28.6585,-17.9182,63.12,64.15,76,0,7.0
169,Yanaul,RU,1666577450,56.2719,54.9309,35.29,35.29,75,100,15.57
170,Barillas,GT,1666577358,15.8036,-91.3158,62.13,62.13,99,99,0.92
171,Mbini,GQ,1666577450,1.574,9.6134,76.03,76.03,90,100,2.75
172,Marsh Harbour,BS,1666577138,26.5412,-77.0636,79.12,79.12,63,0,13.62
173,Denpasar,ID,1666577289,-8.65,115.2167,83.71,83.86,83,20,9.22
174,Paita,PE,1666577451,-5.0892,-81.1144,62.24,62.24,86,99,13.53
175,Santiago de Cao,PE,1666577452,-7.9589,-79.2392,60.93,60.93,88,75,9.22
176,New Norfolk,AU,1666577187,-42.7826,147.0587,52.86,55.92,71,100,1.99
177,Lüderitz,NA,1666577192,-26.6481,15.1594,58.44,58.44,88,87,15.39
178,Phan Thiet,VN,1666577453,10.9333,108.1,83.01,83.01,73,100,0.18
179,Saint-Pierre,RE,1666577453,-21.3393,55.4781,67.3,71.91,68,0,3.44
180,Opuwo,NA,1666577453,-18.0607,13.84,74.97,74.97,32,98,2.8
181,Abu Samrah,SY,1666577454,35.3029,37.1841,64.04,64.04,63,4,3.47
182,Pisco,PE,1666577454,-13.7,-76.2167,60.85,61.02,82,0,5.75
183,Horana,LK,1666577455,6.7166,80.0619,76.86,76.86,88,94,1.52
184,Olinda,BR,1666577255,-8.0089,-34.8553,77.45,77.45,81,25,9.86
185,Zharkovskiy,RU,1666577455,55.849,32.2697,43.57,43.57,91,100,7.47
186,Pinawa,CA,1666577456,50.1489,-95.8811,54.0,54.0,86,86,12.39
187,Sørland,NO,1666577456,67.667,12.6934,39.06,39.06,59,100,9.15
188,Shihezi,CN,1666577457,44.3,86.0333,46.63,46.63,75,100,7.76
189,Alenquer,BR,1666577457,-1.9417,-54.7383,80.91,80.91,67,31,4.0
190,Faya,SA,1666577457,18.3851,42.4509,54.12,54.12,69,0,1.3
191,Bakreswar,IN,1666577458,23.8833,87.3667,75.29,75.29,77,99,8.59
192,Orange Cove,US,1666577459,36.6244,-119.3137,59.86,64.06,29,0,5.75
193,Tiksi,RU,1666577210,71.6872,128.8694,20.28,20.28,94,97,9.15
194,Saint Paul Harbor,US,1666577459,57.79,-152.4072,45.91,45.91,42,0,12.66
195,Labuhan,ID,1666577460,-6.8844,112.2051,85.17,85.17,66,98,5.5
196,Mount Vernon,US,1666577460,40.9126,-73.8371,56.35,58.8,69,100,18.41
197,Vao,NC,1666577179,-22.6667,167.4833,72.57,72.57,78,100,23.51
198,São João dos Patos,BR,1666577460,-6.495,-43.7022,76.51,76.51,65,15,3.65
199,Presidente Médici,BR,1666577448,-11.1753,-61.9014,72.61,72.61,92,29,2.98
200,Lata,PT,1666577461,40.1629,-8.3327,55.92,58.08,95,27,4.56
201,Iqaluit,CA,1666577252,63.7506,-68.5145,29.7,29.7,92,100,5.99
202,Villa Carlos Paz,AR,1666577462,-31.4241,-64.4978,63.32,63.9,34,3,5.99
203,Puerto Escondido,MX,1666577251,15.85,-97.0667,81.43,81.43,61,100,4.61
204,Bereznehuvate,UA,1666577463,47.3078,32.8499,50.36,50.36,92,72,9.42
205,Sobolevo,RU,1666577244,54.4299,31.8996,44.42,44.42,94,100,8.72
206,Te Anau,NZ,1666577354,-45.4167,167.7167,43.56,43.56,95,100,2.24
207,Umluj,SA,1666577219,25.0213,37.2685,77.23,77.23,59,5,11.99
208,Fortuna,US,1666577464,40.5982,-124.1573,52.77,53.98,79,0,6.91
209,Malumfashi,NG,1666577464,11.7853,7.6218,72.46,72.46,31,99,6.22
210,Ust-Nera,RU,1666577465,64.5667,143.2,0.93,0.93,95,62,5.14
211,Mount Gambier,AU,1666577248,-37.8333,140.7667,57.11,57.11,94,100,14.97
212,St. George's,GD,1666577255,12.0564,-61.7485,81.16,81.16,79,10,12.24
213,Lukulu,ZM,1666577466,-14.3707,23.242,68.14,68.14,63,97,4.16
214,Klaksvík,FO,1666577352,62.2266,-6.589,45.52,45.52,84,100,19.46
215,Sikasso,ML,1666577466,10.9167,-7.0,77.16,77.16,67,85,0.98
216,Thompson,CA,1666577195,55.7435,-97.8558,30.47,30.47,69,100,9.95
217,Shenjiamen,CN,1666577467,29.9576,122.298,66.07,66.07,50,100,19.08
218,Flinders,AU,1666577468,-34.5833,150.8552,65.32,66.18,94,100,5.99
219,Naze,JP,1666577468,28.3667,129.4833,70.61,70.61,60,12,19.93
220,Gravdal,NO,1666577468,68.1214,13.5031,38.66,38.66,59,100,5.68
221,Fort Nelson,CA,1666577469,58.8053,-122.7002,25.18,25.18,88,100,2.98
222,Derzhavīnsk,KZ,1666577470,51.1,66.3167,29.44,29.44,62,0,8.81
223,Maridi,SS,1666577471,4.9158,29.4742,66.54,66.54,98,19,3.38
224,Aquiraz,BR,1666577471,-3.9014,-38.3911,80.19,80.19,81,14,10.94
225,Two Rivers,US,1666577472,44.1539,-87.5693,59.45,64.38,82,20,14.97
226,La Baule-Escoublac,FR,1666577472,47.2922,-2.364,61.72,62.26,84,100,26.46
227,Vila Velha,BR,1666577472,-20.3297,-40.2925,71.98,71.98,85,100,3.44
228,Madawaska,US,1666577473,47.3561,-68.3288,54.01,58.3,58,0,5.75
229,Moba,CN,1666577473,33.2288,105.0179,51.71,51.71,90,100,4.05
230,Manohar Thāna,IN,1666577474,24.24,76.8018,68.36,68.36,53,0,2.28
231,Bonthe,SL,1666577474,7.5264,-12.505,76.77,76.77,86,72,2.75
232,Havre-St-Pierre,CA,1666577475,50.2334,-63.5986,46.71,46.71,88,32,5.28
233,Jega,NG,1666577476,12.2175,4.3792,77.94,77.94,32,100,7.56
234,Galesong,ID,1666577288,-5.3166,119.3661,87.82,87.82,71,95,4.25
235,Nabire,ID,1666577477,-3.3667,135.4833,86.68,86.68,65,100,4.56
236,Cukai,MY,1666577477,4.25,103.4167,79.38,79.38,72,100,4.92
237,Palu,ID,1666577478,-0.8917,119.8707,88.09,88.09,63,92,1.97
238,Salalah,OM,1666577191,17.0151,54.0924,75.29,75.29,69,0,3.44
239,Bambous Virieux,MU,1666577499,-20.3428,57.7575,70.05,70.21,94,75,4.61
240,Maputo,MZ,1666577500,-25.9653,32.5892,71.38,71.38,85,83,4.65
241,Luanda,AO,1666577411,-8.8368,13.2343,75.22,75.22,87,96,7.29
242,Ngerengere,TZ,1666577500,-6.75,38.1167,67.86,67.86,98,69,0.92
243,Cervo,ES,1666577501,43.6702,-7.4101,60.71,60.71,72,11,15.03
244,Portland,US,1666577006,45.5234,-122.6762,51.66,54.79,73,74,3.0
245,Steinbach am Taunus,DE,1666577501,50.1667,8.5667,54.75,58.6,94,98,4.61
246,Cedro,BR,1666577502,-6.6067,-39.0622,79.5,79.5,66,82,8.34
247,Wajima,JP,1666577502,37.4,136.9,57.96,57.96,54,88,14.56
248,Honningsvåg,NO,1666577502,70.9821,25.9704,38.95,38.95,65,75,11.5
249,Kulhudhuffushi,MV,1666577503,6.6221,73.07,80.69,80.69,80,88,14.9
250,Katsuura,JP,1666577503,35.1333,140.3,57.22,57.22,82,100,20.49
251,Griffith,US,1666577504,41.5284,-87.4237,71.28,73.26,51,75,18.41
252,Price,US,1666577504,39.5994,-110.8107,34.86,37.11,55,0,17.27
253,Aklavik,CA,1666577249,68.2191,-135.0107,8.11,8.11,98,91,0.34
254,Port Antonio,JM,1666577505,18.18,-76.4612,76.95,76.95,81,22,2.26
255,Jianning,CN,1666577505,27.8333,113.15,71.4,71.4,38,96,3.78
256,Jumla,NP,1666577505,29.2747,82.1838,50.11,50.11,56,0,2.39
257,Yangi Marg`ilon,UZ,1666577229,40.4272,71.7189,50.72,50.72,87,100,4.61
258,Daudnagar,IN,1666577506,25.0333,84.4,68.0,68.0,63,77,6.31
259,Vila do Maio,CV,1666577506,15.1333,-23.2167,75.99,75.99,76,7,11.52
260,Berdigestyakh,RU,1666577507,62.0989,126.6992,27.82,27.82,88,100,12.15
261,Palana,RU,1666577507,59.1167,159.9667,28.09,28.09,68,62,5.99
262,Oranjemund,NA,1666577357,-28.55,16.4333,60.6,60.6,84,100,6.64
263,Makkah al Mukarramah,SA,1666577238,21.4267,39.8261,77.38,77.38,66,0,3.74
264,Krasnosel'kup,RU,1666577364,65.7,82.4667,27.09,27.09,79,100,15.12
265,Lar,IN,1666577508,26.2039,83.9717,71.17,71.17,65,47,5.3
266,Port Elizabeth,ZA,1666577340,-33.918,25.5701,63.1,63.1,91,45,4.34
267,Kysyl-Syr,RU,1666577509,63.8986,122.7617,30.15,30.15,96,100,11.81
268,Smolenka,RU,1666577509,52.1352,113.4974,28.47,28.47,74,34,0.0
269,Qinhuangdao,CN,1666577494,39.9317,119.5883,58.68,58.68,41,10,5.35
270,Atar,MR,1666577510,20.5169,-13.0499,84.33,84.33,15,0,5.88
271,Kahului,US,1666577510,20.8947,-156.47,81.84,82.42,73,40,19.57
272,Sinegor'ye,RU,1666577511,62.0788,150.477,5.27,5.27,87,32,1.32
273,Morón,AR,1666577511,-34.6534,-58.6198,60.33,62.35,91,2,8.55
274,Necochea,AR,1666577511,-38.5473,-58.7368,55.08,55.08,64,0,17.47
275,Westport,US,1666577512,41.1415,-73.3579,55.65,58.55,72,100,13.8
276,Bilibino,RU,1666577512,68.0546,166.4372,1.38,1.38,98,98,1.41
277,Wuwei,CN,1666577513,37.9281,102.6414,56.25,56.25,34,99,1.72
278,Laas,IT,1666577223,46.6166,10.7002,51.37,51.37,97,98,4.54
279,Cairns,AU,1666577513,-16.9167,145.7667,88.9,99.07,69,0,10.36
280,Trairi,BR,1666577305,-3.2778,-39.2689,78.44,78.44,81,26,10.0
281,Hay River,CA,1666577514,60.8156,-115.7999,26.4,26.4,81,74,7.23
282,Mil'kovo,RU,1666577514,54.7167,158.6167,33.06,33.06,52,92,0.51
283,San Miguel de Cozumel,MX,1666577515,20.5083,-86.9458,78.19,80.08,82,0,7.0
284,Nhulunbuy,AU,1666577515,-12.2333,136.7667,88.99,88.99,61,47,14.67
285,Palmer,US,1666577121,42.1584,-72.3287,50.2,53.62,83,100,4.61
286,Baghdad,IQ,1666577515,33.3406,44.4009,73.31,73.31,40,97,6.91
287,Sola,VU,1666577516,-13.8833,167.55,78.64,78.64,78,100,6.08
288,Mackay,AU,1666577342,-21.15,149.2,92.68,92.68,69,5,17.54
289,Cayenne,GF,1666577208,4.9333,-52.3333,78.84,78.84,89,0,2.3
290,Huntsville,US,1666577280,34.7304,-86.5861,58.24,62.15,63,28,4.76
291,Verkhoyansk,RU,1666577516,67.5447,133.385,7.5,7.5,90,94,3.83
292,Maracaçumé,BR,1666577517,-2.0428,-45.9592,75.13,75.13,86,99,4.61
293,São Félix do Xingu,BR,1666577358,-6.6447,-51.995,74.71,74.71,81,58,1.7
294,Atasū,KZ,1666577517,48.6814,71.6433,27.01,27.01,58,6,4.0
295,Quryq,KZ,1666577518,43.2,51.65,50.94,50.94,64,69,12.19
296,Taoudenni,ML,1666577518,22.6783,-3.9836,79.83,79.83,15,100,10.76
297,Rome,US,1666577518,43.2128,-75.4557,53.74,58.87,65,0,5.75
298,Jām Sāhib,PK,1666577519,26.2958,68.6292,76.78,76.78,33,0,3.8
299,Anchorage,US,1666577283,61.2181,-149.9003,34.59,37.45,66,0,5.75
300,Port Hardy,CA,1666577520,50.6996,-127.4199,44.01,44.01,92,100,20.02
301,Nemuro,JP,1666577520,43.3236,145.575,48.36,48.36,78,96,13.09
302,Ancud,CL,1666577521,-41.8697,-73.8203,50.56,50.56,90,100,22.17
303,Bilma,NE,1666577521,18.6853,12.9164,75.18,75.18,30,46,14.63
304,Narsaq,GL,1666577522,60.9167,-46.05,34.02,34.02,99,100,3.22
305,Mumford,GH,1666577522,5.2618,-0.759,77.54,77.54,85,29,3.33
306,Ciudad Bolivar,VE,1666577522,8.1222,-63.5497,81.66,81.66,73,100,10.6
307,Grindavik,IS,1666577355,63.8424,-22.4338,43.27,43.27,87,100,17.27
308,Plettenberg Bay,ZA,1666577523,-34.0527,23.3716,60.48,60.48,90,59,3.91
309,Krasnyy Yar,RU,1666577524,46.5331,48.3456,41.97,42.73,82,100,7.34
310,Tarutyne,UA,1666577524,46.1858,29.1506,51.3,51.3,86,6,4.16
311,Ixtapa,MX,1666577525,20.7,-105.2,74.86,74.86,95,71,2.19
312,Sitka,US,1666577246,57.0531,-135.33,48.09,48.09,57,100,12.66
313,Casablanca,MA,1666577229,33.5928,-7.6192,69.33,69.33,88,62,4.0
314,Bima,ID,1666577526,-8.4667,118.7167,92.41,92.41,51,67,2.19
315,Rodrigues Alves,BR,1666577526,-7.738,-72.6509,72.91,72.91,97,100,0.76
316,Alice Springs,AU,1666577284,-23.7,133.8833,78.35,78.35,47,0,10.36
317,Puerto Madryn,AR,1666577428,-42.7692,-65.0385,69.67,69.67,19,33,14.7
318,Khani,GE,1666577527,41.9563,42.9566,40.57,40.57,69,100,2.75
319,Pahrump,US,1666577527,36.2083,-115.9839,57.49,58.24,17,0,10.0
320,Honiara,SB,1666577528,-9.4333,159.95,83.89,83.89,76,100,4.05
321,Ostrovnoy,RU,1666577528,68.0531,39.5131,39.4,39.4,73,100,31.47
322,Port Blair,IN,1666577529,11.6667,92.75,82.04,82.04,82,92,17.38
323,Camacha,PT,1666577529,33.0833,-16.3333,65.62,65.62,73,40,3.44
